otu_id	kingdom	phylum	class	order	family	genus	species
OTU0	Fungi						
OTU1	Fungi						
OTU2	Fungi						
OTU3	Fungi						
OTU5	Fungi						
OTU6	Fungi						
OTU8	Fungi						
OTU9	Fungi						
OTU11	Fungi						
OTU12	Fungi						
OTU13	Fungi						
OTU14	Fungi						
OTU16	Fungi						
OTU17	Fungi						
OTU19	Fungi						
OTU21	Fungi						
OTU23	Fungi						
OTU25	Fungi						
OTU26	Fungi						
OTU27	Fungi						
OTU29	Fungi						
OTU30	Fungi						
OTU31	Fungi						
OTU32	Fungi						
OTU34	Fungi						
OTU35	Fungi						
OTU36	Fungi						
OTU40	Fungi						
OTU41	Fungi						
OTU43	Fungi						
OTU46	Fungi						
OTU47	Fungi						
OTU48	Fungi						
OTU49	Fungi						
OTU50	Fungi						
OTU54	Fungi						
OTU55	Fungi						
OTU56	Fungi						
OTU57	Fungi						
OTU58	Fungi						
OTU61	Fungi						
OTU62	Fungi						
OTU63	Fungi						
OTU65	Fungi						
OTU66	Fungi						
OTU67	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
OTU68	Fungi						
OTU70	Fungi						
OTU71	Fungi						
OTU72	Fungi						
OTU73	Fungi						
OTU75	Fungi						
OTU76	Fungi						
OTU78	Fungi						
OTU79	Fungi						
OTU81	Fungi						
OTU82	Fungi						
OTU83	Fungi						
OTU85	Fungi						
OTU86	Fungi						
OTU87	Fungi						
OTU88	Fungi						
OTU89	Fungi						
OTU90	Fungi						
OTU93	Fungi						
OTU94	Fungi						
OTU97	Fungi						
OTU98	Fungi						
OTU99	Fungi						
OTU100	Fungi						
OTU101	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	
OTU103	Fungi						
OTU104	Fungi						
OTU106	Fungi						
OTU107	Fungi						
OTU110	Fungi						
OTU111	Fungi						
OTU112	Fungi						
OTU113	Fungi						
OTU114	Fungi						
OTU115	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Calvatia	
OTU117	Fungi						
OTU119	Fungi						
OTU120	Fungi						
OTU121	Fungi						
OTU124	Fungi						
OTU125	Fungi						
OTU126	Fungi						
OTU128	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
OTU129	Fungi						
OTU130	Fungi						
OTU131	Fungi						
OTU133	Fungi						
OTU134	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
OTU135	Fungi						
OTU136	Fungi						
OTU137	Fungi						
OTU138	Fungi						
OTU139	Fungi						
OTU142	Fungi						
OTU146	Fungi						
OTU147	Fungi						
OTU148	Fungi						
OTU149	Fungi						
OTU150	Fungi						
OTU151	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
OTU152	Fungi						
OTU153	Fungi						
OTU154	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus_biglobosus
OTU155	Fungi						
OTU156	Fungi						
OTU157	Fungi						
OTU158	Fungi						
OTU159	Fungi						
OTU160	Fungi						
OTU161	Fungi						
OTU163	Fungi						
