SampleID	EcotypeId	block_id	plate_id	cycle454
L1_A01_6046	6046	1	1	4
L1_A02_8309	8309	1	1	4
L1_A03_8322	8322	1	1	4
L1_A04_8342	8342	1	1	4
L1_A05_8397	8397	1	1	4
L1_A06_8349	8349	1	1	4
L1_A07_8316	8316	2	1	4
L1_A08_8309	8309	2	1	4
L1_A09_8322	8322	2	1	4
L1_A10_8263	8263	2	1	4
L1_A11_8344	8344	2	1	4
L1_A12_8349	8349	2	1	4
L1_C01_8277	8277	1	1	4
L1_C02_8309	8309	1	1	4
L1_C03_8322	8322	1	1	4
L1_C04_8342	8342	1	1	4
L1_C05_8397	8397	1	1	4
L1_C06_8349	8349	1	1	4
L1_C07_6046	6046	2	1	4
L1_C08_8309	8309	2	1	4
L1_C09_8322	8322	2	1	4
L1_C10_8263	8263	2	1	4
L1_C11_8344	8344	2	1	4
L1_C12_8349	8349	2	1	4
L1_E01_8277	8277	1	1	4
L1_E02_8317	8317	1	1	4
L1_E03_8339	8339	1	1	4
L1_E04_8344	8344	1	1	4
L1_E05_8372	8372	1	1	4
L1_E06_8263	8263	1	1	4
L1_E07_6046	6046	2	1	4
L1_E08_8317	8317	2	1	4
L1_E09_8339	8339	2	1	4
L1_E10_8342	8342	2	1	4
L1_E11_8372	8372	2	1	4
L1_E12_8397	8397	2	1	4
L1_G01_8263	8263	1	1	4
L1_G02_8317	8317	1	1	4
L1_G03_8339	8339	1	1	4
L1_G04_8344	8344	1	1	4
L1_G05_8372	8372	1	1	4
L1_G06_8316	8316	2	1	4
L1_G07_8277	8277	2	1	4
L1_G08_8317	8317	2	1	4
L1_G09_8339	8339	2	1	4
L1_G10_8342	8342	2	1	4
L1_G11_8372	8372	2	1	4
L1_G12_8397	8397	2	1	4
R1_B01_6046	6046	1	1	4
R1_B02_8309	8309	1	1	4
R1_B03_8322	8322	1	1	4
R1_B04_8342	8342	1	1	4
R1_B05_8397	8397	1	1	4
R1_B06_8349	8349	1	1	4
R1_B07_8316	8316	2	1	4
R1_B08_8309	8309	2	1	4
R1_B09_8322	8322	2	1	4
R1_B10_8263	8263	2	1	4
R1_B11_8344	8344	2	1	4
R1_B12_8349	8349	2	1	4
R1_D01_8277	8277	1	1	4
R1_D02_8309	8309	1	1	4
R1_D03_8322	8322	1	1	4
R1_D04_8342	8342	1	1	4
R1_D05_8397	8397	1	1	4
R1_D06_8349	8349	1	1	4
R1_D07_6046	6046	2	1	4
R1_D08_8309	8309	2	1	4
R1_D09_8322	8322	2	1	4
R1_D10_8263	8263	2	1	4
R1_D11_8344	8344	2	1	4
R1_D12_8349	8349	2	1	4
R1_F01_8277	8277	1	1	4
R1_F02_8317	8317	1	1	4
R1_F03_8339	8339	1	1	4
R1_F04_8344	8344	1	1	4
R1_F05_8372	8372	1	1	4
R1_F07_6046	6046	2	1	4
R1_F08_8317	8317	2	1	4
R1_F09_8339	8339	2	1	4
R1_F10_8342	8342	2	1	4
R1_F11_8372	8372	2	1	4
R1_F12_8397	8397	2	1	4
R1_H01_8263	8263	1	1	4
R1_H02_8317	8317	1	1	4
R1_H03_8339	8339	1	1	4
R1_H04_8344	8344	1	1	4
R1_H05_8372	8372	1	1	4
R1_H06_8316	8316	2	1	4
R1_H07_8277	8277	2	1	4
R1_H08_8317	8317	2	1	4
R1_H09_8339	8339	2	1	4
R1_H10_8342	8342	2	1	4
R1_H11_8372	8372	2	1	4
R1_H12_8397	8397	2	1	4
